Raw_material,Category,Unit,Quantity,Total
Wafer Potatos,Vegetable,Kg,5.0,210.0
Oreo Biscuit,Grocery,PKT,20.0,200.0
Celery Leaves,Vegetable,Kg,1.0,110.0
Jamaican Jerk Seasonings,Grocery,JAR,2.0,590.32
Bell Papper Yellow,Vegetable,Kg,1.0,130.0
Cabbage,Vegetable,Kg,5.0,150.0
Fresh Red Chilly,Vegetable,Kg,0.5,60.0
Pok Choy,Vegetable,Kg,1.0,110.0
Spicy Banana Chips (red),Bakery,Kg,8.0,2480.0
Milk 3 Fat,Dairy Products,PKT,30.0,1680.0
Refind Oil,Food Ingredients,LTR,50.0,5070.8
Fresh Basil,Vegetable,Kg,0.25,40.0
Water Melon,Fresh Fruits,Kg,6.8,170.86
Papaya,Fresh Fruits,Kg,3.6,144.0
Dukes Soda,Beverages,BTL,120.0,960.04
Tomatos,Vegetable,Kg,19.0,684.0
Bell Papper Yellow,Vegetable,Kg,1.35,175.5
American Corn,Vegetable,Kg,0.5,40.0
Milk 3 Fat,Dairy Products,PKT,25.0,1400.0
Capsicum,Vegetable,Kg,3.0,144.0
Cucumber,Vegetable,Kg,15.0,480.0
Baby Corn,Vegetable,Kg,2.0,240.0
Ghee Nandani,Dairy Products,Kg,12.0,7288.1
Prawns Frozen 70/80,Meat Material,Kg,5.0,3250.0
Cucumber,Vegetable,Kg,15.0,480.0
Bell Pepper Red,Vegetable,Kg,2.0,260.0
Bisleri 250 Ml,Beverages,BTL,1440.0,7199.52
Sugar 5 Gm,Grocery,PKT,10.0,1706.26
Parsley Leaves,Vegetable,Kg,0.15,37.97
Cauliflower,Vegetable,Kg,5.0,210.0
Ginger,Vegetable,Kg,1.5,105.0
Tea Masala,Beverages,PKT,4.0,525.0
Meat Masala,Grocery,PKT,4.0,305.92
Coriander Leaves,Vegetable,Kg,7.0,455.0
Onion,Vegetable,Kg,58.0,2610.0
Fresh Mushroom,Vegetable,Kg,2.8,476.0
Chicken Supreme,Meat Material,Kg,2.0,500.0
Cabbage,Vegetable,Kg,5.0,150.0
Snow Peas,Vegetable,Kg,0.25,200.0
Vanilla Sticks,Food Ingredients,JAR,1.0,170.0
Spinach,Vegetable,Kg,6.0,216.0
Eggs,Food Ingredients,PCS,200.0,1320.0
Elaichi Bananas,Fresh Fruits,Kg,2.6,286.0
Milk 3 Fat,Dairy Products,PKT,30.0,1680.0
Nature Jaggery,Grocery,PKT,6.0,428.4
Fresh Beans,Vegetable,Kg,17.5,1190.0
Spinach,Vegetable,Kg,9.0,324.0
Chat Masala,Grocery,PKT,10.0,692.48
Fresh Red Chilly,Vegetable,Kg,0.5,60.0
Cabbage,Vegetable,Kg,4.0,120.0
Mint Leaves,Vegetable,Kg,1.25,60.0
Apple,Fresh Fruits,Kg,1.1,198.0
Yellow Zucchini,Vegetable,Kg,1.0,110.0
Cauliflower,Vegetable,Kg,7.0,294.0
Caustic Soda,Non Food,PKT,8.0,1038.4
Red Pumpkin,Vegetable,Kg,3.0,78.0
Indian Chives,Vegetable,Kg,0.1,80.0
Chicken Breast Bonless,Meat Material,Kg,12.2,3050.0
Apple,Fresh Fruits,Kg,4.0,720.0
Kesar Pista Kulfi,Food Ingredients,PCS,10.0,436.6
Fresh Red Chilly,Vegetable,Kg,0.5,60.0
Spicy Banana Chips (red),Bakery,Kg,8.0,2480.0
Coriander Leaves,Vegetable,Kg,7.0,455.0
Lemon,Vegetable,Kg,9.0,630.0
Frappe Powder,Coffee,PKT,24.0,24468.48
Churma Atta,Grocery,Kg,5.0,340.0
Chicken Supreme,Meat Material,Kg,6.0,1500.0
Chinese Cabbage,Vegetable,Kg,1.0,110.0
Wonton Patta,Food Ingredients,PKT,2.0,220.0
Malai Paneer,Dairy Products,Kg,6.0,1860.0
Thums Up,Beverages,BTL,120.0,2750.04
Broccoli,Vegetable,Kg,1.5,270.0
Butter Amul,Dairy Products,PKT,40.0,10400.0
Surmay Fish,Meat Material,Kg,2.7,1485.0
Coriander Leaves,Vegetable,Kg,5.0,325.0
Fresh Mushroom,Vegetable,Kg,2.0,340.0
Coriander Leaves,Vegetable,Kg,7.5,487.5
Banana Leaf,Vegetable,PCS,25.0,200.0
Orange,Fresh Fruits,Kg,10.6,742.0
Karela,Vegetable,Kg,1.0,60.0
Lemon,Vegetable,Kg,9.0,630.0
Black Pepper Whole,Grocery,Kg,0.5,430.5
Peanut Roasted,Grocery,Kg,6.0,1310.4
Floor Duster,Non Food,NOS,24.0,252.0
Chicken Supreme,Meat Material,Kg,4.0,1000.0
Bisleri 250 Ml,Beverages,BTL,1440.0,7199.52
Chinese Cabbage,Vegetable,Kg,1.0,110.0
Capsicum,Vegetable,Kg,5.0,240.0
Chicken Carcass (haddi),Meat Material,Kg,10.0,200.0
Banana Leaf,Vegetable,PCS,30.0,240.0
Cauliflower,Vegetable,Kg,3.0,126.0
Apple,Fresh Fruits,Kg,3.1,558.0
Bean Sprouts,Vegetable,Kg,0.5,60.0
Elaichi Bananas,Fresh Fruits,Kg,2.6,286.0
Mixed Fruit Jam 1 Kg,Food Ingredients,JAR,2.0,246.4
Carrots,Vegetable,Kg,18.5,666.0
